	0	1	2
0	64.81474	196.05013	-149.85803
1	86.110794	-125.759834	-241.53241
2	-110.63936	50.089333	78.82817
3	-163.40306	1276.3678	1708.7255
4	-75.04803	134.61423	206.97327
5	47.952766	-275.4849	31.59699
6	241.29427	-4.106656	98.56204
7	19.786734	7.3315954	-2.3460379
8	228.0427	2.5527537	-69.96485
9	143.22952	28.662989	-209.80989
10	-167.8795	-102.837906	52.694977
11	-269.97583	95.61629	-135.73048
12	113.556015	75.481186	-77.72578
13	79.65374	181.44167	32.631443
14	-267.5492	-162.35974	-141.8896
15	12.483416	104.50839	110.17776
16	24.766628	-47.92128	-148.85239
17	-742.45276	1.3850605	-81.418015
18	-15.321435	68.90088	-224.83841
19	-50.408443	-13.572327	235.03885
20	-333.43573	-26.472305	-14.978467
21	120.94527	-168.04942	73.17289
22	-108.29823	164.5317	-163.37747
23	-182.21196	-26.20158	191.99377
24	112.14815	-1.25285	85.643456
25	-92.7074	7.647883	-73.146996
26	-30.18353	-67.33705	97.168106
27	-170.89116	113.051544	-40.42876
28	-169.95407	226.00636	192.33673
29	-15.633011	127.99256	-58.41679
30	-199.36945	-60.358482	-75.41764
31	-8.6983	-133.67763	-24.041887
32	-259.47235	42.17427	90.2963
33	98.07685	83.33562	222.95134
34	-112.90804	-229.91194	-22.61511
35	101.34513	-561.7323	-1000.37225
36	-110.438385	-88.060036	-193.41626
37	122.82079	-86.706696	-36.889683
38	368.24435	10.7312355	-58.264366
39	220.76059	117.528076	37.498253
40	68.78617	308.28656	85.88582
41	204.0984	-137.40112	-124.761955
42	341.78357	284.81152	-91.730705
43	-214.96344	182.44904	64.29037
44	5.7221503	-217.16692	-145.62405
45	-73.247665	227.32278	24.629585
46	196.66777	-116.693726	172.19232
47	-71.112076	-186.80579	153.05806
48	194.37453	247.69925	-16.495476
49	60.624012	-90.828575	202.91055
